budget,window,horizon,worst_case_failure
0,1,20,0.1034752679993038
0,2,20,0.0344606074958936
0,3,20,0.013256454194992962
0,4,20,0.005128786458479363
0,5,20,0.0019831438875632353
0,6,20,0.0007665434843805188
0,7,20,0.00029624807772084917
0,8,20,0.00011448521199517219
0,9,20,4.42418661568505e-05
0,10,20,1.70967349555365e-05
0,11,20,6.606744894589369e-06
0,12,20,2.553032288709659e-06
0,13,20,9.86532849361037e-07
0,14,20,3.811834676089884e-07
0,15,20,1.472574617861558e-07
0,16,20,5.6862847943291484e-08
0,17,20,2.1933814419814916e-08
0,18,20,8.438443124793862e-09
0,19,20,3.2251395073139894e-09
0,20,20,1.2092155489674732e-09
1,1,20,1.0
1,2,20,0.10894726229719082
1,3,20,0.03704612445090594
1,4,20,0.01428792031997489
1,5,20,0.005536604011030392
1,6,20,0.0021441942899927753
1,7,20,0.0008301048619006676
1,8,20,0.0003213213624024796
1,9,20,0.00012437158766660407
1,10,20,4.813842535266255e-05
1,11,20,1.8631783728519384e-05
1,12,20,7.2112115921756545e-06
1,13,20,2.7909193479425027e-06
1,14,20,1.0800709694263054e-06
1,15,20,4.179040935794925e-07
1,16,20,1.6162455864701128e-07
1,17,20,6.244090179757522e-08
1,18,20,2.4058436892267133e-08
1,19,20,9.200683075952173e-09
1,20,20,3.4751639145356096e-09
2,1,20,1.0
2,2,20,1.0
2,3,20,0.1151467166006824
2,4,20,0.039632446356287085
2,5,20,0.015314694290751447
2,6,20,0.005942928450844534
2,7,20,0.002304863957106761
2,8,20,0.0008936019785597414
2,9,20,0.000346403279923288
2,10,20,0.0001342746058301487
2,11,20,5.2046596132520154e-05
2,12,20,2.0173213034701162e-05
2,13,20,7.818820031594465e-06
2,14,20,3.030201624982536e-06
2,15,20,1.1741389817829968e-06
2,16,20,4.5474947293965776e-07
2,17,20,1.759331015852233e-07
2,18,20,6.786269350249726e-08
2,19,20,2.604170490404149e-08
2,20,20,9.864924288656034e-09
3,1,20,1.0
3,2,20,1.0
3,3,20,1.0
3,4,20,0.1212734887173462
3,5,20,0.04218433325202964
3,6,20,0.016328978852439016
3,7,20,0.006344887823441302
3,8,20,0.002464043439331178
3,9,20,0.0009566032077713535
3,10,20,0.00037132551397353863
3,11,20,0.0001441283859200706
3,12,20,5.5940003990075946e-05
3,13,20,2.171061203032457e-05
3,14,20,8.425266657731677e-06
3,15,20,3.2689699245448316e-06
3,16,20,1.2677655300139581e-06
3,17,20,4.910713432017128e-07
3,18,20,1.8980474955559164e-07
3,19,20,7.297154357600796e-08
3,20,20,2.7714145502062036e-08
4,1,20,1.0
4,2,20,1.0
4,3,20,1.0
4,4,20,1.0
4,5,20,0.127292202350723
4,6,20,0.044694200959757055
4,7,20,0.0173280695615833
4,8,20,0.006741442894398533
4,9,20,0.0026213260559551305
4,10,20,0.0010189482619505999
4,11,20,0.00039602426013226135
4,12,20,0.0001539072239521389
4,13,20,5.980787722715588e-05
4,14,20,2.3238992823061932e-05
4,15,20,9.02794400136801e-06
4,16,20,3.5054507663617975e-06
4,17,20,1.3598745460218125e-06
4,18,20,5.263649858492077e-07
4,19,20,2.027094839288348e-07
4,20,20,7.71674767070247e-08
5,1,20,1.0
5,2,20,1.0
5,3,20,1.0
5,4,20,1.0
5,5,20,1.0
5,6,20,0.13319595544805496
5,7,20,0.047159779471768255
5,8,20,0.018311107526496995
5,9,20,0.007132250789649195
5,10,20,0.0027765722525618956
5,11,20,0.0010805787419610933
5,12,20,0.00042047444482065486
5,13,20,0.0001635962263346844
5,14,20,6.364333180546922e-05
5,15,20,2.4753531121395557e-05
5,16,20,9.62380909733743e-06
5,17,20,3.73807193336887e-06
5,18,20,1.44884974244914e-06
5,19,20,5.588540184252993e-07
5,20,20,2.1319839931222616e-07
