kappa,window,failure_probability,spectral_radius
0.0,1,0.1047120418848168,0.09999999999999998
0.0,2,0.010520778537611786,0.09999999999999998
0.0,3,0.0010525761802010422,0.09999999999999998
0.0,4,0.0001052626038810322,0.09999999999999998
0.0,5,1.0526310249310389e-05,0.09999999999999998
0.0,6,1.0526315235457084e-06,0.09999999999999998
0.0,7,1.0526315734072012e-07,0.09999999999999998
0.0,8,1.0526315783933506e-08,0.09999999999999998
0.0,9,1.0526315788919656e-09,0.09999999999999998
0.0,10,1.0526315789418268e-10,0.09999999999999998
0.0,11,1.0526315789468129e-11,0.09999999999999998
0.0,12,1.0526315789473114e-12,0.09999999999999998
0.3,1,0.10430804515961112,0.18864131445842197
0.3,2,0.018518930650207092,0.18864131445842197
0.3,3,0.0034796984850672427,0.18864131445842197
0.3,4,0.0006562968198527962,0.18864131445842197
0.3,5,0.0001238054544778187,0.18864131445842197
0.3,6,2.3354917002434683e-05,0.18864131445842197
0.3,7,4.405706449381114e-06,0.18864131445842197
0.3,8,8.31098417268171e-07,0.18864131445842197
0.3,9,1.5677950378428628e-07,0.18864131445842197
0.3,10,2.957509188630445e-08,0.18864131445842197
0.3,11,5.57908421624401e-09,0.18864131445842197
0.3,12,1.0524457802967244e-09,0.18864131445842197
0.5,1,0.10403418615954543,0.25342719282327014
0.5,2,0.023828852553314926,0.25342719282327014
0.5,3,0.006002886854008137,0.25342719282327014
0.5,4,0.0015210999595975203,0.25342719282327014
0.5,5,0.00038551071264599944,0.25342719282327014
0.5,6,9.770093290608454e-05,0.25342719282327014
0.5,7,2.476021352707475e-05,0.25342719282327014
0.5,8,6.274920582811435e-06,0.25342719282327014
0.5,9,1.5902361004059066e-06,0.25342719282327014
0.5,10,4.030091089119796e-07,0.25342719282327014
0.5,11,1.0213346959890801e-07,0.25342719282327014
0.5,12,2.5883398650803907e-08,0.25342719282327014
0.7,1,0.10375661904821637,0.3196021248190078
0.7,2,0.029137780204361256,0.3196021248190078
0.7,3,0.00925674554562052,0.3196021248190078
0.7,4,0.0029593444817892947,0.3196021248190078
0.7,5,0.0009460225179413265,0.3196021248190078
0.7,6,0.0003023744600120347,0.3196021248190078
0.7,7,9.664197711535934e-05,0.3196021248190078
0.7,8,3.0887232985841365e-05,0.3196021248190078
0.7,9,9.871651021616747e-06,0.3196021248190078
0.7,10,3.155003270403529e-06,0.3196021248190078
0.7,11,1.0083460175185037e-06,0.3196021248190078
0.7,12,3.222695571764987e-07,0.3196021248190078
0.85,1,0.10354596473002939,0.36968632937532536
0.85,2,0.03312776003593763,0.36968632937532536
0.85,3,0.012185390631674913,0.36968632937532536
0.85,4,0.004508829023763638,0.36968632937532536
0.85,5,0.0016676486066994805,0.36968632937532536
0.85,6,0.0006166204191643201,0.36968632937532536
0.85,7,0.00022797174847582412,0.36968632937532536
0.85,8,8.428017409041233e-05,0.36968632937532536
0.85,9,3.1157520054963476e-05,0.36968632937532536
0.85,10,1.1518549110135509e-05,0.36968632937532536
0.85,11,4.258255591785207e-06,0.36968632937532536
0.85,12,1.57421962432015e-06,0.36968632937532536
0.93,1,0.10343273418959738,0.39649747875170727
0.93,2,0.035261181556288525,0.39649747875170727
0.93,3,0.013922183019241006,0.39649747875170727
0.93,4,0.00552759161596462,0.39649747875170727
0.93,5,0.0021931844826084046,0.39649747875170727
0.93,6,0.0008698359571901345,0.39649747875170727
0.93,7,0.0003449262406127106,0.39649747875170727
0.93,8,0.00013676843713852734,0.39649747875170727
0.93,9,5.422929210275782e-05,0.39649747875170727
0.93,10,2.1501927199859757e-05,0.39649747875170727
0.93,11,8.52548344299013e-06,0.39649747875170727
0.93,12,3.3803363878757677e-06,0.39649747875170727
