p_request,window,r_response,failure_probability
0.02,1,0.05,0.02103049421661409
0.02,2,0.05,0.0004210437674996316
0.02,3,0.05,8.42104908587407e-06
0.02,4,0.05,1.6842105121329642e-07
0.02,5,0.05,3.3684210520642666e-09
0.02,6,0.05,6.736842105240467e-11
0.02,7,0.05,1.347368421052541e-12
0.02,8,0.05,2.69473684210526e-14
0.02,9,0.05,5.389473684210528e-16
0.02,10,0.05,1.0778947368421056e-17
0.025,1,0.05,0.02628120893561104
0.025,2,0.05,0.0006578730962797278
0.025,3,0.05,1.644735489526736e-05
0.025,4,0.05,4.111842020726933e-07
0.025,5,0.05,1.0279605257874383e-08
0.025,6,0.05,2.569901315756453e-10
0.025,7,0.05,6.424753289471623e-12
0.025,8,0.05,1.606188322368409e-13
0.025,9,0.05,4.015470805921054e-15
0.025,10,0.05,1.0038677014802638e-16
0.03,1,0.05,0.03152916447714135
0.03,2,0.05,0.0009473235478319449
0.03,3,0.05,2.8421012243824703e-05
0.03,4,0.05,8.526315425983394e-07
0.03,5,0.05,2.5578947335706924e-08
0.03,6,0.05,7.673684210231888e-10
0.03,7,0.05,2.3021052631552444e-11
0.03,8,0.05,6.906315789473443e-13
0.03,9,0.05,2.0718947368421026e-14
0.03,10,0.05,6.215684210526314e-16
0.034999999999999996,1,0.05,0.03677436301549777
0.034999999999999996,2,0.05,0.0012893905524512233
0.034999999999999996,3,0.05,4.513147710462731e-05
0.034999999999999996,4,0.05,1.5796051384002647e-06
0.034999999999999996,5,0.05,5.5286184057698186e-08
0.034999999999999996,6,0.05,1.9350164471812058e-09
0.034999999999999996,7,0.05,6.772557565766535e-11
0.034999999999999996,8,0.05,2.3703951480260333e-12
0.034999999999999996,9,0.05,8.296383018092063e-14
0.034999999999999996,10,0.05,2.9037340563322334e-15
0.039999999999999994,1,0.05,0.04201680672268907
0.039999999999999994,2,0.05,0.0016840687100033677
0.039999999999999994,3,0.05,6.736819412818817e-05
0.039999999999999994,4,0.05,2.694736479024978e-06
0.039999999999999994,5,0.05,1.0778947310328193e-07
0.039999999999999994,6,0.05,4.311578946438933e-09
0.039999999999999994,7,0.05,1.724631578932495e-10
0.039999999999999994,8,0.05,6.898526315787085e-12
0.039999999999999994,9,0.05,2.7594105263157473e-13
0.039999999999999994,10,0.05,1.1037642105263134e-14
0.045,1,0.05,0.047256497768443165
0.045,2,0.05,0.0021313517901381564
0.045,3,0.05,9.592059259136842e-05
0.045,4,0.05,4.316446436835359e-06
0.045,5,0.05,1.9424012969248593e-07
0.045,6,0.05,8.740805917232544e-09
0.045,7,0.05,3.9333626643963265e-10
0.045,8,0.05,1.770013199011591e-11
0.045,9,0.05,7.96505939555889e-13
0.045,10,0.05,3.584276728001637e-14
0.049999999999999996,1,0.05,0.052493438320209966
0.049999999999999996,2,0.05,0.0026312327325351925
0.049999999999999996,3,0.05,0.00013157808172314654
0.049999999999999996,4,0.05,6.578945204294339e-06
0.049999999999999996,5,0.05,3.2894736301073403e-07
0.049999999999999996,6,0.05,1.644736840752683e-08
0.049999999999999996,7,0.05,8.223684210188167e-10
0.049999999999999996,8,0.05,4.111842105254702e-11
0.049999999999999996,9,0.05,2.055921052631366e-12
0.049999999999999996,10,0.05,1.0279605263157834e-13
0.05499999999999999,1,0.05,0.057727630543164515
0.05499999999999999,2,0.05,0.0031837036471824877
0.05499999999999999,3,0.05,0.0001751300454072997
0.05499999999999999,4,0.05,9.632232203108163e-06
0.05499999999999999,5,0.05,5.297730122828166e-07
0.05499999999999999,6,0.05,2.9137516404918658e-08
0.05499999999999999,7,0.05,1.6025634044768516e-09
0.05499999999999999,8,0.05,8.814098725290096e-11
0.05499999999999999,9,0.05,4.847754298929741e-12
0.05499999999999999,10,0.05,2.666264864411968e-13
0.06,1,0.05,0.06295907660020987
0.06,2,0.05,0.0037887558146877435
0.06,3,0.05,0.00022736583626207195
0.06,4,0.05,1.364209595781244e-05
0.06,5,0.05,8.185262822902084e-07
0.06,6,0.05,4.911157882677106e-08
0.06,7,0.05,2.946694736407954e-09
0.06,8,0.05,1.7680168420896334e-10
0.06,9,0.05,1.060810105262595e-11
0.06,10,0.05,6.364860631578742e-13
0.06499999999999999,1,0.05,0.06818777865198006
0.06499999999999999,2,0.05,0.004446379686622316
0.06499999999999999,3,0.05,0.0002890747690969228
0.06499999999999999,4,0.05,1.8790113925511702e-05
0.06499999999999999,5,0.05,1.2213584780457468e-06
0.06499999999999999,6,0.05,7.938830560592739e-08
0.06499999999999999,7,0.05,5.1602398835370105e-09
0.06499999999999999,8,0.05,3.354155925108217e-10
0.06499999999999999,9,0.05,2.180201351354528e-11
0.06499999999999999,10,0.05,1.4171308783818873e-12
0.06999999999999999,1,0.05,0.07341373885684321
0.06999999999999999,2,0.05,0.005156564885897846
0.06999999999999999,3,0.05,0.00036104611374647276
0.06999999999999999,4,0.05,2.5273652272610988e-05
0.06999999999999999,5,0.05,1.7691577382408724e-06
0.06999999999999999,6,0.05,1.2384105186474857e-07
0.06999999999999999,7,0.05,8.668873680453051e-09
0.06999999999999999,8,0.05,6.068211578763248e-10
0.06999999999999999,9,0.05,4.247748105254132e-11
0.06999999999999999,10,0.05,2.9734236736837656e-12
0.075,1,0.05,0.07863695937090433
0.075,2,0.05,0.005919300207175507
0.075,3,0.05,0.00044406908728177903
0.075,4,0.05,3.330586558850508e-05
0.075,5,0.05,2.4979437669611757e-06
0.075,6,0.05,1.8734580416613005e-07
0.075,7,0.05,1.4050935434207505e-08
0.075,8,0.05,1.0538201582503938e-09
0.075,9,0.05,7.903651187263172e-11
0.075,10,0.05,5.927738390469047e-12
0.07999999999999999,1,0.05,0.08385744234800838
0.07999999999999999,2,0.05,0.006734573617307852
0.07999999999999999,3,0.05,0.0005389328455991079
0.07999999999999999,4,0.05,4.3115696525319466e-05
0.07999999999999999,5,0.05,3.4492625630240206e-06
0.07999999999999999,6,0.05,2.759410488244056e-07
0.07999999999999999,7,0.05,2.2075284186160384e-08
0.07999999999999999,8,0.05,1.7660227366861613e-09
0.07999999999999999,9,0.05,1.412818189463702e-10
0.07999999999999999,10,0.05,1.1302545515783068e-11
0.08499999999999999,1,0.05,0.08907518993974325
0.08499999999999999,2,0.05,0.0076023722558132495
0.08499999999999999,3,0.05,0.0006464264743863903
0.08499999999999999,4,0.05,5.494787535192441e-05
0.08499999999999999,5,0.05,4.670581146125436e-06
0.08499999999999999,6,0.05,3.9699948225114913e-07
0.08499999999999999,7,0.05,3.374495660424809e-08
0.08499999999999999,8,0.05,2.868321315789293e-09
0.08499999999999999,9,0.05,2.4380731187408363e-10
0.08499999999999999,10,0.05,2.0723621509528265e-11
0.09,1,0.05,0.09429020429544265
0.09,2,0.05,0.00852268243538281
0.09,3,0.05,0.0007673389794675773
0.09,4,0.05,6.906291940957145e-05
0.09,5,0.05,6.215682278790405e-06
0.09,6,0.05,5.59411563300303e-07
0.09,7,0.05,5.034704197852192e-08
0.09,8,0.05,4.531233788447079e-09
0.09,9,0.05,4.0781104104431593e-10
0.09,10,0.05,3.670299369466947e-11
0.09499999999999999,1,0.05,0.09950248756218905
0.09499999999999999,2,0.05,0.00949548964241985
0.09499999999999999,3,0.05,0.0009024592765251464
0.09499999999999999,4,0.05,8.573713245563027e-05
0.09499999999999999,5,0.05,8.14505918289919e-06
0.09499999999999999,6,0.05,7.737809075631537e-07
0.09499999999999999,7,0.05,7.350918879231988e-08
0.09499999999999999,8,0.05,6.983372958499118e-09
0.09499999999999999,9,0.05,6.634204312670554e-10
0.09499999999999999,10,0.05,6.302494097226224e-11
0.09999999999999999,1,0.05,0.10471204188481675
0.09999999999999999,2,0.05,0.010520778537611781
0.09999999999999999,3,0.05,0.001052576180201042
0.09999999999999999,4,0.05,0.00010526260388103217
0.09999999999999999,5,0.05,1.0526310249310392e-05
0.09999999999999999,6,0.05,1.0526315235457088e-06
0.09999999999999999,7,0.05,1.0526315734072018e-07
0.09999999999999999,8,0.05,1.0526315783933511e-08
0.09999999999999999,9,0.05,1.052631578891966e-09
0.09999999999999999,10,0.05,1.0526315789418273e-10
0.105,1,0.05,0.10991886940591468
0.105,2,0.05,0.011598532956534431
0.105,3,0.05,0.0012184783925763573
0.105,4,0.05,0.000127947207786154
0.105,5,0.05,1.3434533738816992e-05
0.105,6,0.05,1.4106268906381604e-06
0.105,7,0.05,1.4811583286690077e-07
0.105,8,0.05,1.5552162554107167e-08
0.105,9,0.05,1.6329770693177378e-09
0.105,10,0.05,1.7146259229089222e-10
0.10999999999999999,1,0.05,0.1151229722658294
0.10999999999999999,2,0.05,0.01272873591028871
0.10999999999999999,3,0.05,0.0014009544910301278
0.10999999999999999,4,0.05,0.0001541146018990071
0.10999999999999999,5,0.05,1.695272247235311e-05
