requests,exact_pmf,mc_pmf
0,0.0,0.0
1,0.7216,0.7207033333333334
2,0.20089344,0.20174333333333333
3,0.055928733696,0.055925
4,0.016620319460966402,0.016588333333333333
5,0.003680633321933046,0.003725
6,0.00095014964613176,0.000975
7,0.00024377009556176104,0.00026333333333333336
8,6.208835865189852e-05,5.833333333333333e-05
9,1.556858014744589e-05,1.6666666666666667e-05
10,3.954096600063344e-06,1.6666666666666667e-06
11,1.0026734707533446e-06,0.0
12,2.539637248588668e-07,0.0
13,6.428999806347229e-08,0.0
14,1.6290157427625334e-08,0.0
15,4.126735947077656e-09,0.0
16,1.045310743804869e-09,0.0
17,2.647809766301837e-10,0.0
18,6.707409956651946e-11,0.0
19,1.699071496225458e-11,0.0
20,4.303938144435737e-12,0.0
21,1.090239559419516e-12,0.0
22,2.7617177590450674e-13,0.0
23,6.995771046653726e-14,0.0
24,1.7721147176708378e-14,0.0
25,4.48898612671573e-15,0.0
26,1.1371159334958702e-15,0.0
27,2.880455300714564e-16,0.0
28,7.296549704778121e-17,0.0
29,1.8483063954416507e-17,0.0
30,4.681988970193654e-18,0.0
31,1.1860057651830055e-18,0.0
32,3.00429943343204e-19,0.0
33,7.610262422494952e-20,0.0
34,1.9277736912493982e-20,0.0
35,4.8832894258894364e-21,0.0
36,1.2369976692210616e-21,0.0
37,3.1334682431846566e-22,0.0
38,7.937462999491276e-23,0.0
39,2.0106576475819762e-23,0.0
40,5.0932447511484066e-24,0.0
41,1.2901819524727526e-24,0.0
42,3.268190616784336e-25,0.0
43,8.278731451146348e-26,0.0
44,2.097105171541979e-26,0.0
45,5.3122270319522596e-27,0.0
46,1.3456528753030136e-27,0.0
47,3.408705331907039e-28,0.0
48,8.634672621018704e-29,0.0
49,2.1872694766036214e-29,0.0
50,5.5406243794767604e-30,0.0
