mu2,mu0,system_failure
1,1,0.3842839765605819
1,2,0.2292048001422916
1,3,0.19154306492116535
1,4,0.18247842943953285
1,5,0.18030142530191606
1,6,0.17977885832981233
1,7,0.1796534373032599
1,8,0.17962333597156843
1,9,0.17961611163552804
1,10,0.17961437779393163
2,1,0.27148035209153143
2,2,0.08798954999889386
2,3,0.0434279127531213
2,4,0.03270257055298087
2,5,0.030126723526989085
2,6,0.02950841850968755
2,7,0.02936001944481681
2,8,0.029324403331656534
2,9,0.029315855445052663
2,10,0.029313803951147577
3,1,0.25301156964205307
3,2,0.06486907186068791
3,3,0.019177747603387862
3,4,0.008180506062770765
3,5,0.005539358452940513
3,6,0.004905378716522302
3,7,0.004753217570487855
3,8,0.0047166985492899105
3,9,0.004707933964264055
3,10,0.004705830462709337
4,1,0.25004555116048677
4,2,0.06115600817345457
4,3,0.015283260340250737
4,4,0.004242352766358981
4,5,0.0015907181231225032
4,6,0.0009542210845094878
4,7,0.0008014557620876772
4,8,0.0007647917371823576
4,9,0.0007559923511875066
4,10,0.0007538804973956648
5,1,0.24957070518915314
5,2,0.06056156368696686
5,3,0.014659770770376501
5,4,0.003611872464595045
5,5,0.000958558895352124
5,6,0.0003216588481897986
5,7,0.0001687967998961204
5,8,0.00013210956056142198
5,9,0.0001233046030909568
5,10,0.00012119141214428364
6,1,0.24949472258415795
6,2,0.06046644349360908
6,3,0.014560002920239068
6,4,0.0035109859906261587
6,5,0.0008574037675895818
6,6,0.0002204392329064886
6,7,6.756170699662167e-05
6,8,3.087075299890163e-05
6,9,2.2064904007135233e-05
6,10,1.9951499095283154e-05
7,1,0.24948256518175138
7,2,0.060451224030316
7,3,0.014544039820508003
7,4,0.003494843908349532
7,5,0.0008412187000498283
7,6,0.00020424384720585387
7,7,5.136384483961365e-05
7,8,1.4672296486661907e-05
7,9,5.866304849333481e-06
7,10,3.7528657025331924e-06
8,1,0.24948061999261462
8,2,0.060448788910240636
8,3,0.01454148571831193
8,4,0.003492261168876243
8,5,0.0008386290829176524
8,6,0.00020165257916393564
8,7,4.877218056364985e-05
8,8,1.2080537113656753e-05
8,9,3.2745226530295213e-06
8,10,1.1610780284998512e-06
9,1,0.24948030876223104
9,2,0.06044839929087631
9,3,0.014541077061800856
9,4,0.003491847930399028
9,5,0.0008382147440144649
9,6,0.0002012379761150429
9,7,4.835751411735867e-05
9,8,1.1665855451759022e-05
9,9,2.85983733949724e-06
9,10,7.463918385575141e-07
10,1,0.24948025896536663
10,2,0.060448336951774206
10,3,0.014541011676755033
10,4,0.003491781812238526
10,5,0.0008381484497859137
10,6,0.00020117163962318774
10,7,4.8291167481839814e-05
10,8,1.1599506381854141e-05
10,9,2.793487685170959e-06
10,10,6.800420441210875e-07
